,PRODUCTO,CATEGORIA,PRECIO VENTA,KG / UNIDAD,MARCA,STOCK
,Harina de Arveja,HARINAS COMUNES Y SIN TACC / PREMEZCLAS Y FECULAS SIN TACC /VARIOS,$1.320,KG,,-
,Harina de Chia de primera,HARINAS COMUNES Y SIN TACC / PREMEZCLAS Y FECULAS SIN TACC /VARIOS,$4.360,KG,,-
,Harina de Coco,HARINAS COMUNES Y SIN TACC / PREMEZCLAS Y FECULAS SIN TACC /VARIOS,$7.560,KG,,-
,Harina de Garbanzos,HARINAS COMUNES Y SIN TACC / PREMEZCLAS Y FECULAS SIN TACC /VARIOS,$1.620,KG,,-
,Harina de Lino,HARINAS COMUNES Y SIN TACC / PREMEZCLAS Y FECULAS SIN TACC /VARIOS,$1.800,KG,,-
,Harina de Centeno,HARINAS COMUNES Y SIN TACC / PREMEZCLAS Y FECULAS SIN TACC /VARIOS,$2.400,KG,,-
,Harina de Trigo Sarraceno S/TACC x 500 grs,HARINAS COMUNES Y SIN TACC / PREMEZCLAS Y FECULAS SIN TACC /VARIOS,$7.000,KG,,-
,Harina de Trigo Sarraceno S/TACC x 1 kg,HARINAS COMUNES Y SIN TACC / PREMEZCLAS Y FECULAS SIN TACC /VARIOS,$13.188,KG,,-
,Harina Integral,HARINAS COMUNES Y SIN TACC / PREMEZCLAS Y FECULAS SIN TACC /VARIOS,$1.460,KG,,-
,Harina Integral Orgánica Extra Fina,HARINAS COMUNES Y SIN TACC / PREMEZCLAS Y FECULAS SIN TACC /VARIOS,$2.200,KG,,-
,Harina Integral Orgánica Extra Fina Premium x 1 kg,HARINAS COMUNES Y SIN TACC / PREMEZCLAS Y FECULAS SIN TACC /VARIOS,$7.070,KG,,-
,Harina de Maiz para Arepas,HARINAS COMUNES Y SIN TACC / PREMEZCLAS Y FECULAS SIN TACC /VARIOS,$4.400,KG,,-
,Harina de Quinoa,HARINAS COMUNES Y SIN TACC / PREMEZCLAS Y FECULAS SIN TACC /VARIOS,$6.600,KG,,-
,Harina de Nuez,HARINAS COMUNES Y SIN TACC / PREMEZCLAS Y FECULAS SIN TACC /VARIOS,$12.600,KG,,-
,Harina de Soja Desgrasada,HARINAS COMUNES Y SIN TACC / PREMEZCLAS Y FECULAS SIN TACC /VARIOS,$3.320,KG,,-
,Polenta Rápida Orgánica S/TACC x  450 grs,HARINAS COMUNES Y SIN TACC / PREMEZCLAS Y FECULAS SIN TACC /VARIOS,$3.682,KG,,-
,Premezcla Universal con Psyllium x 450 kg,HARINAS COMUNES Y SIN TACC / PREMEZCLAS Y FECULAS SIN TACC /VARIOS,$4.718,KG,,-
,Salvado de Avena,HARINAS COMUNES Y SIN TACC / PREMEZCLAS Y FECULAS SIN TACC /VARIOS,$2.500,KG,,-
,Salvado de Trigo Grueso,HARINAS COMUNES Y SIN TACC / PREMEZCLAS Y FECULAS SIN TACC /VARIOS,$1.800,KG,,-
,Semolín de Trigo,HARINAS COMUNES Y SIN TACC / PREMEZCLAS Y FECULAS SIN TACC /VARIOS,$2.600,KG,,-
,Soja texturizada Vegana x 350 grs,HARINAS COMUNES Y SIN TACC / PREMEZCLAS Y FECULAS SIN TACC /VARIOS, $1.526,UNIDAD,,-
,Soja Texturizada Mediano Premium,HARINAS COMUNES Y SIN TACC / PREMEZCLAS Y FECULAS SIN TACC /VARIOS,$3.060,KG,,-
,Soja Texturizada Gruesa Premium,HARINAS COMUNES Y SIN TACC / PREMEZCLAS Y FECULAS SIN TACC /VARIOS,$3.340,KG,,-
,Trigo Burgol,HARINAS COMUNES Y SIN TACC / PREMEZCLAS Y FECULAS SIN TACC /VARIOS,$4.400,KG,,-
,Trigo Sarraceno (Granos) S/TACC x 500 grs,HARINAS COMUNES Y SIN TACC / PREMEZCLAS Y FECULAS SIN TACC /VARIOS,$3.500,UNIDAD,,-
,Trigo Candeal Pelado,HARINAS COMUNES Y SIN TACC / PREMEZCLAS Y FECULAS SIN TACC /VARIOS,$3.080,KG,,-
,Trigo Sarraceno (Granos) S/TACC x 1 kg,HARINAS COMUNES Y SIN TACC / PREMEZCLAS Y FECULAS SIN TACC /VARIOS,$6.594,UNIDAD,,-
,Adobo para pizza,ESPECIAS /CONDIMENTOS / SAL MARINA / SAL ROSADA,$13.120,KG,,-
,Ají molido Fino,ESPECIAS /CONDIMENTOS / SAL MARINA / SAL ROSADA,$13.520,KG,,-
,Ají molido Premium,ESPECIAS /CONDIMENTOS / SAL MARINA / SAL ROSADA,$16.320,KG,,-
,Ají molido Merken,ESPECIAS /CONDIMENTOS / SAL MARINA / SAL ROSADA,$17.760,KG,,-
,Albahaca en hojas,ESPECIAS /CONDIMENTOS / SAL MARINA / SAL ROSADA,$11.760,KG,,-
,Azafrán Español ( cápsula ),ESPECIAS /CONDIMENTOS / SAL MARINA / SAL ROSADA, $4.900,UNIDAD,,-
,Baharat,ESPECIAS /CONDIMENTOS / SAL MARINA / SAL ROSADA,$28.400,KG,,-
,Cardamomo,ESPECIAS /CONDIMENTOS / SAL MARINA / SAL ROSADA,$85.200,KG,,-
,Cayena molida,ESPECIAS /CONDIMENTOS / SAL MARINA / SAL ROSADA,$16.400,KG,,-
,Chimichurri,ESPECIAS /CONDIMENTOS / SAL MARINA / SAL ROSADA,$13.680,KG,,-
,Clavo de olor entero,ESPECIAS /CONDIMENTOS / SAL MARINA / SAL ROSADA,$52.000,KG,,-
,Clavo de olor molido,ESPECIAS /CONDIMENTOS / SAL MARINA / SAL ROSADA,$51.200,KG,,-
,Comino molido,ESPECIAS /CONDIMENTOS / SAL MARINA / SAL ROSADA,$14.000,KG,,-
,Coriandro molido,ESPECIAS /CONDIMENTOS / SAL MARINA / SAL ROSADA,$3.200,KG,,-
,Cúrcuma molida,ESPECIAS /CONDIMENTOS / SAL MARINA / SAL ROSADA,$11.000,KG,,-
,Curry powder,ESPECIAS /CONDIMENTOS / SAL MARINA / SAL ROSADA,$13.600,KG,,-
,Hongos secos x 25 grs,ESPECIAS /CONDIMENTOS / SAL MARINA / SAL ROSADA, $1.300,UNIDAD,,-
,Jengibre molido,ESPECIAS /CONDIMENTOS / SAL MARINA / SAL ROSADA,$14.400,KG,,-
,Especias surtidas ( Próximamente ),ESPECIAS /CONDIMENTOS / SAL MARINA / SAL ROSADA,$13.600,KG,,-
,Finas hierbas ( Próximamente ),ESPECIAS /CONDIMENTOS / SAL MARINA / SAL ROSADA,$16.000,KG,,-
,Laurel en hojas,ESPECIAS /CONDIMENTOS / SAL MARINA / SAL ROSADA,$16.480,KG,,-
,Nuez moscada entera x unid.,ESPECIAS /CONDIMENTOS / SAL MARINA / SAL ROSADA, $670,UNIDAD,,-
,Nuez moscada molida,ESPECIAS /CONDIMENTOS / SAL MARINA / SAL ROSADA,$23.200,KG,,-
,Mix  de 4 pimientas ( Próximamente ),ESPECIAS /CONDIMENTOS / SAL MARINA / SAL ROSADA,$35.600,KG,,-
,Orégano,ESPECIAS /CONDIMENTOS / SAL MARINA / SAL ROSADA,$10.400,KG,,-
,Perejil en hojas,ESPECIAS /CONDIMENTOS / SAL MARINA / SAL ROSADA,$15.120,KG,,-
,Pimentón Común,ESPECIAS /CONDIMENTOS / SAL MARINA / SAL ROSADA,$9.680,KG,,-
,Pimentón Selección,ESPECIAS /CONDIMENTOS / SAL MARINA / SAL ROSADA,$11.440,KG,,-
,Pimentón Ahumado,ESPECIAS /CONDIMENTOS / SAL MARINA / SAL ROSADA,$14.000,KG,,-
,Pimentón Extra,ESPECIAS /CONDIMENTOS / SAL MARINA / SAL ROSADA,$12.800,KG,,-
,Pimentón Picante (Paprika),ESPECIAS /CONDIMENTOS / SAL MARINA / SAL ROSADA,$12.400,KG,,-
,Pimienta blanca en grano,ESPECIAS /CONDIMENTOS / SAL MARINA / SAL ROSADA,$45.600,KG,,-
,Pimienta blanca molida,ESPECIAS /CONDIMENTOS / SAL MARINA / SAL ROSADA,$45.200,KG,,-
,Pimienta negra en grano,ESPECIAS /CONDIMENTOS / SAL MARINA / SAL ROSADA,$28.800,KG,,-
,Pimienta negra molida,ESPECIAS /CONDIMENTOS / SAL MARINA / SAL ROSADA,$33.600,KG,,-
,Provenzal,ESPECIAS /CONDIMENTOS / SAL MARINA / SAL ROSADA,$14.080,KG,,-
,Sal Marina Gruesa 100 % Natural x 500  grs,ESPECIAS /CONDIMENTOS / SAL MARINA / SAL ROSADA, $1.870,UNIDAD,,-
,Sal Marina Fina 100 % Natural x 500 grs,ESPECIAS /CONDIMENTOS / SAL MARINA / SAL ROSADA, $2.680,UNIDAD,,-
,Sal Rosada Fina,ESPECIAS /CONDIMENTOS / SAL MARINA / SAL ROSADA, $2.840,KG,,-
,Agar Agar x 100 grs,REPOSTERÍA,$7.300,UNIDAD,,-
,Azúcar de Mascabo,REPOSTERÍA,$3.400,KG,,-
,Azúcar de Mascabo x 500 grs S/TACC,REPOSTERÍA, $2.634,UNIDAD,,-
,Almidón de Maíz,REPOSTERÍA,$3.490,KG,,-
,Azúcar Impalpable Común,REPOSTERÍA,$2.400,KG,,-
,Azúcar Negra,REPOSTERÍA,$2.905,KG,,-
,Azúcar rubia Orgánica,REPOSTERÍA,$3.460,KG,,-
,Azúcar Integral Orgánica x  kg S/TACC,REPOSTERÍA,$5.824,UNIDAD,,-
,Bicarbonato de Sodio S/TACC x 200 grs,REPOSTERÍA,$2.184,UNIDAD,,-
,Bicarbonato de Sodio,REPOSTERÍA,$4.700,KG,,-
,Cacao en Polvo Amargo,REPOSTERÍA,$21.000,KG,,-
,Canela Molida,REPOSTERÍA,$13.520,KG,,-
,Canela Molida x 25 grs,REPOSTERÍA,$610,UNIDAD,,-
,Canela en Rama x 15 grs,REPOSTERÍA,$1.840,UNIDAD,,-
,Coco en Escamas,REPOSTERÍA,$13.300,KG,,-
,Coco Rallado,REPOSTERÍA,$12.600,KG,,-
,Extracto de Vainilla x 30 cc.,REPOSTERÍA,$615,UNIDAD,,-
,Extracto de Vainilla x 100 cc.,REPOSTERÍA,$990,UNIDAD,,-
,Fruta Escurrida para p / Dulce,REPOSTERÍA,$4.900,KG,,-
,Gelatina sin Sabor x 15 grs,REPOSTERÍA,$1.300,UNIDAD,,-
,Gotitas de Chocolate Negro Semiamargo,REPOSTERÍA,$9.600,KG,,-
,Gotitas de Chocolate Blanco,REPOSTERÍA,$9.100,KG,,-
,Polvo para Hornear S/TACC x 250 grs   SIN ALUMINIO,REPOSTERÍA,$6.300,UNIDAD,,-
,Polvo para Hornear S/TACC x Kg   SIN ALUMINIO,REPOSTERÍA,$6.840,UNIDAD,,-
,Polvo para Hornear S/TACC x 250 grs,REPOSTERÍA,$2.850,UNIDAD,,-
,Polvo para Hornear,REPOSTERÍA,$5.840,KG,,-
,Polvo de Hornear x 50 grs,REPOSTERÍA,$580,UNIDAD,,-
,Dulce de leche sin azúcar x 445 grs s/tacc,DULCE DE LECHE ,$7.400,UNIDAD,REGIDET,-
,Dulce de  leche con Cacao x 445 grs s/ tacc,DULCE DE LECHE ,$7.900,UNIDAD,REGIDET,-
,Manteca clarificada x 300 grs,MANTECA CLARIFICADA SIN TACC ,$9.420,UNIDAD,GHEE,-
,Manteca clarificada x 150 grs,MANTECA CLARIFICADA SIN TACC ,$4.950,UNIDAD,GHEE,-
,Pasta de Mani Natural S/TACC (tamaño mediano),PASTA DE MANI | PASTA DE SESAMO,$3.500,UNIDAD,ENTRE NUTS,-
,Pasta de Maní con Cacao S/TACC (tamaño mediano),PASTA DE MANI | PASTA DE SESAMO,$3.500,UNIDAD,ENTRE NUTS,-
,Pasta de Maní con Coco S/TACC  ( tamaño  mediano),PASTA DE MANI | PASTA DE SESAMO,$3.500,UNIDAD,ENTRE NUTS,-
,Pasta de Sésamo ( tamaño  mediano),PASTA DE MANI | PASTA DE SESAMO,$5.900,UNIDAD,ENTRE NUTS,-
,"Barritas de arroz con semillas de amaranto, sésamo y chía sabor Chocolate",BARRITAS DE ARROZ S/TACC ,$550,UNIDAD,CROWIE,-
,"Barritas de arroz con semillas de amaranto, sésamo y chía sabor Marroc",BARRITAS DE ARROZ S/TACC ,$550,UNIDAD,CROWIE,-
,"Barritas de arroz con semillas de amaranto, sésamo y chía sabor Coco",BARRITAS DE ARROZ S/TACC ,$550,UNIDAD,CROWIE,-
,"Barritas de arroz con semillas de amaranto, sésamo y chía Choco Blanco",BARRITAS DE ARROZ S/TACC ,$550,UNIDAD,CROWIE,-
,"Barritas de arroz con semillas de amaranto, sésamo y chía sabor Limón",BARRITAS DE ARROZ S/TACC ,$550,UNIDAD,CROWIE,-
,"Barritas de arroz con semillas de amaranto, sésamo y chía sabor Frutilla",BARRITAS DE ARROZ S/TACC ,$550,UNIDAD,CROWIE,-
,Aceto Balsámico x 500 ml PET,ACETO / ACEITES / SALSAS DE SOJA / ADEREZO / ACEITES SABORARIZADOS, $3.440,UNIDAD,Libanti,0
,Aceite de  Oliva x 1 litro envase Pet,ACETO / ACEITES / SALSAS DE SOJA / ADEREZO / ACEITES SABORARIZADOS, $3.441,UNIDAD,Rodrigo de Vivar,-
,Aderezo Caesar S/TACC x 250 cc,ACETO / ACEITES / SALSAS DE SOJA / ADEREZO / ACEITES SABORARIZADOS,$4.144,UNIDAD,Pampa Goumet,-
,Salsa de Soja x 960 ml Sakanashi,ACETO / ACEITES / SALSAS DE SOJA / ADEREZO / ACEITES SABORARIZADOS,$6.300,UNIDAD,Sakanashi,-
,Salsa de Soja x 450 ml Sakanashi,ACETO / ACEITES / SALSAS DE SOJA / ADEREZO / ACEITES SABORARIZADOS,$3.465,UNIDAD,Sakanashi,-
,Salsa Teriyaki S/TACC x 250 cc  Pampa Gourmet,ACETO / ACEITES / SALSAS DE SOJA / ADEREZO / ACEITES SABORARIZADOS,$5.880,UNIDAD,Pampa Goumet,-
,Salsa Barbacoa Premium S/TACC,ACETO / ACEITES / SALSAS DE SOJA / ADEREZO / ACEITES SABORARIZADOS,$4.560,UNIDAD,Pampa Goumet,-
,Leche de Coco en Lata x 400 grs,ACEITE DE COCO / LECHE DE COCO EN POLVO / LATA,$4.620,UNIDAD,,-
,Aceite de Coco Neutro x 200 cc Vidrio S/TACC,ACEITE DE COCO / LECHE DE COCO EN POLVO / LATA,$4.600,UNIDAD,,-
,Aceite de Coco Neutro x 360 cc Vidrio S/TACC,ACEITE DE COCO / LECHE DE COCO EN POLVO / LATA,$6.400,UNIDAD,,-
,Fideos de Arroz Spaghetti Clásico x 280 grs,FIDEOS DE ARROZ,$3.150,UNIDAD,PARTY BECK,-
,Fideos de Arroz Spaghetti Espinaca x 280 grs,FIDEOS DE ARROZ,$3.150,UNIDAD,PARTY BECK,-
,Fideos de Arroz Spaghetti Morrón x 280 grs,FIDEOS DE ARROZ,$3.150,UNIDAD,PARTY BECK,-
,Fideos Integrales Spaghetti x 227 grs Natural 100 % Semolin,FIDEOS INTEGRALES,$1.540,UNIDAD,MI FIDEO,-
,Fideos Integrales Spaghetti x 227 grs Espinaca 100 % Semolin,FIDEOS INTEGRALES,$1.540,UNIDAD,MI FIDEO,-
,Fideos  Nido x 500 grs ( Trigo),FIDEOS INTEGRALES,$2.145,UNIDAD,EMILIA,-
,Fideos Fusilli x 500 grs ( Trigo),FIDEOS INTEGRALES,$1.875,UNIDAD,EMILIA,-
,Fideos  Penne Rigate x 500 grs ( Centeno),FIDEOS INTEGRALES,$2.982,UNIDAD,EMILIA,-
,Arroz Jazmin (Tailandia),ARROZ,$8.100,KG,,-
,Arroz Basmati ( Pakistán),ARROZ,$7.230,KG,,-
,Arroz  Carnaroli (Italia ),ARROZ,$6.000,KG,,-
,Arroz Corto Koshihikari para Sushi,ARROZ,$3.960,KG,,-
,Arroz Blanco Largo Fino,ARROZ,$2.280,KG,,-
,Arroz Integral Largo Fino ( Agroecológico ),ARROZ,$2.350,KG,,-
,Arroz Yamaní  ( Agroecológico ),ARROZ,$3.400,KG,,-
,Arveja entera,LEGUMBRES,$1.300,KG,,-
,Garbanzo nacional 1 ra calidad,LEGUMBRES,$3.040,KG,,-
,Maiz Piscingallo (pororó),LEGUMBRES,$2.500,KG,,-
,Lenteja Nacional,LEGUMBRES,$2.980,KG,,-
,Lentejas Turcas,LEGUMBRES,$7.800,KG,,-
,Porotos Aduki,LEGUMBRES,$3.000,KG,,-
,Porotos Colorado,LEGUMBRES,$3.880,KG,,-
,Poroto Cramberry,LEGUMBRES,$3.000,KG,,-
,Poroto Mung,LEGUMBRES,$2.520,KG,,-
,Poroto Negro,LEGUMBRES,$3.670,KG,,-
,Porotos de Alubia,LEGUMBRES,$3.670,KG,,-
,Porotos de Soja,LEGUMBRES,$1.980,KG,,-
,Membrillo x 40 grs,MEMBRILLOS,$530,UNIDAD,Valle Dorado,-
,Membrilo  x 500 grs,MEMBRILLOS,$0,UNIDAD,Valle Dorado,0
,"Jugo de arándanos S/Azúcar x 1,5 lt",Aceites y Cremas con Extracto de Cannabis (CBD ), $0,UNIDAD,FITO PLUS,-
,Jugo de arándanos C/Stevia x 1.5 lt,VARIO / PRODUCTOS PERUANOS / PRODUTOS PARA SUSHI / REBOZADORES,$2.500,UNIDAD,FITO PLUS,-
,Jugo de arándanos S/Azúcar con Chia x 1.5 lt,VARIO / PRODUCTOS PERUANOS / PRODUTOS PARA SUSHI / REBOZADORES,$2.500,UNIDAD,FITO PLUS,-
,Jugo de Aloe Vera Natural x 250 cc,VARIO / PRODUCTOS PERUANOS / PRODUTOS PARA SUSHI / REBOZADORES,$2.500,UNIDAD,,-
,Jugo de Aloe Vera c/arándonos x 250 cc,VARIO / PRODUCTOS PERUANOS / PRODUTOS PARA SUSHI / REBOZADORES,$5.845,UNIDAD,,-
,Jugo de Aloe Vera c/clorofila y jengibre x 250 cc,VARIO / PRODUCTOS PERUANOS / PRODUTOS PARA SUSHI / REBOZADORES,$6.279,UNIDAD,,-
,Aceite de CBD al 15 % x 20 ml (elaborado con la variedades Indico y Sativa ) 100 %,ACEITES Y CREMAS CON EXTRACTO DE CANNABIS (CBD ),$7.540,UNIDAD,,-
,Aceite de CBD al 20 % x 20 ml (elaborado con la variedades Indico y Sativa ) 100 %,ACEITES Y CREMAS CON EXTRACTO DE CANNABIS (CBD ),$7.540,UNIDAD,,-
,Aceite de CBD al 30 % x 20 ml (elaborado con la variedades Indico y Sativa ) 100 %,ACEITES Y CREMAS CON EXTRACTO DE CANNABIS (CBD ),$7.540,UNIDAD,,-
,Aceite de CBD al 40 % x 20 ml (elaborado con la variedades Indico y Sativa ) 100 %,ACEITES Y CREMAS CON EXTRACTO DE CANNABIS (CBD ),$7.540,UNIDAD,,-
,Aceite de extracto de cannabis para mascotas x 20 ml,ACEITES Y CREMAS CON EXTRACTO DE CANNABIS (CBD ),$7.540,UNIDAD,,-
,Jabón de extracto de cannabis y aloe vera,ACEITES Y CREMAS CON EXTRACTO DE CANNABIS (CBD ),$2.030,UNIDAD,,-
,Crema para masajes con cannabis Flex x 185 grs,ACEITES Y CREMAS CON EXTRACTO DE CANNABIS (CBD ),$6.000,UNIDAD,,-
,Emulsión desinflamante efecto calor MAX x 185 grs,ACEITES Y CREMAS CON EXTRACTO DE CANNABIS (CBD ),$6.000,UNIDAD,,-
,Crema Analgésica x 80 grs con arnica /enebro y cannabis,ACEITES Y CREMAS CON EXTRACTO DE CANNABIS (CBD ),$0,UNIDAD,,0
,Espirulina X 90 grs reforzada con Maca,VARIOS / PRODUCTOS PERUANOS / REBOZADORES / MATCHA,$790,UNIDAD,,-
,Maca Peruana Negra 100 % Natural x 125 grs (Es la variedad más potente de todas las Macas),VARIOS / PRODUCTOS PERUANOS / REBOZADORES / MATCHA,$1.780,UNIDAD,,-
,Maca Peruana Roja 100 % Natural x  90 grs (Mejora la líbido en las mujeres entre otros beneficios),VARIOS / PRODUCTOS PERUANOS / REBOZADORES / MATCHA,$790,UNIDAD,,-
,"Maca Peruana Normal 100 % Natural  x 500 grs(Es antioxidante, energética y revitalizante)",VARIOS / PRODUCTOS PERUANOS / REBOZADORES / MATCHA,$1.800,UNIDAD,,-
,Harina de Coca Mezcla x 90 grs,VARIOS / PRODUCTOS PERUANOS / REBOZADORES / MATCHA,$790,UNIDAD,,-
,Calcio Cubano x 90 grs,VARIOS / PRODUCTOS PERUANOS / REBOZADORES / MATCHA,$790,UNIDAD,,-
,Matcha en Polvo x 50 grs Doy Pack,VARIOS / PRODUCTOS PERUANOS / REBOZADORES / MATCHA,$10.164,UNIDAD,,-
,Moringa x 90 grs,VARIOS / PRODUCTOS PERUANOS / REBOZADORES / MATCHA,$790,UNIDAD,,-
,Graviola x 90 grs,VARIOS / PRODUCTOS PERUANOS / REBOZADORES / MATCHA,$790,UNIDAD,,-
,Pan Rallado S/TACC Vegano x 500 grs,VARIOS / PRODUCTOS PERUANOS / REBOZADORES / MATCHA,$3.556,UNIDAD,,-
,Panko,VARIOS / PRODUCTOS PERUANOS / REBOZADORES / MATCHA,$2.550,UNIDAD,,-
,Cloruro de Magnesio en escamas,SUPLEMENTOS VITAMINICOS / COLAGENO HIDROLIZADO EN POLVO,$4.800,KG,,-
,Colágeno Hidrolizado (Péptidos Peptan ) a granel x 100 grs ( Imp. Chile ),SUPLEMENTOS VITAMINICOS / COLAGENO HIDROLIZADO EN POLVO,$3.900,UNIDAD,,-
,Spirulina Microalgas en cápsulas x 100 u. x 300 mg /TACC  Aptos veganos (Marca HGL),SUPLEMENTOS VITAMINICOS / COLAGENO HIDROLIZADO EN POLVO,$9.170,UNIDAD,,-
,Levadura Nutricional x 200 grs (Macrosalud),SUPLEMENTOS VITAMINICOS / COLAGENO HIDROLIZADO EN POLVO,$8.400,UNIDAD,,-
,Levadura de Cerveza Nutricional x 200 grs (Nutrileva),SUPLEMENTOS VITAMINICOS / COLAGENO HIDROLIZADO EN POLVO,$10.000,UNIDAD,,-
,Levadura de Cerveza Nutricional x 500 grs (Nutrileva),SUPLEMENTOS VITAMINICOS / COLAGENO HIDROLIZADO EN POLVO,$20.000,UNIDAD,,-
,Miel Orgánica S/TACC x 1 kg,MIEL / POLEN / JARABE DE CAÑA /CARAMELOS SALUDABLES,$8.900,UNIDAD,Miel del Monte,-
,Miel Orgánica S/TACC x 480 grs,MIEL / POLEN / JARABE DE CAÑA /CARAMELOS SALUDABLES,$5.640,UNIDAD,Miel del Monte,-
,Miel pote de Vidrio x 950 grs.,MIEL / POLEN / JARABE DE CAÑA /CARAMELOS SALUDABLES,$7.650,UNIDAD,Juricich,-
,Miel pote de Vidrio x 450 grs.,MIEL / POLEN / JARABE DE CAÑA /CARAMELOS SALUDABLES,$4.050,UNIDAD,Juricich,-
,"Polen (Aumenta la resistencia física, reduce la fatiga y mejora la irrigación cerebral)",MIEL / POLEN / JARABE DE CAÑA /CARAMELOS SALUDABLES, $30.000,UNIDAD,,-
,Jarabe de Caña x 300 grs S/TACC,MIEL / POLEN / JARABE DE CAÑA /CARAMELOS SALUDABLES, $4.100,UNIDAD,,-
,Caramelos de Ambay,MIEL / POLEN / JARABE DE CAÑA /CARAMELOS SALUDABLES, $12.800,KG,,-
,Caramelos de Propóleo,MIEL / POLEN / JARABE DE CAÑA /CARAMELOS SALUDABLES, $12.801,KG,,-
,Caramelos de Propoleo y Eucaliptus,MIEL / POLEN / JARABE DE CAÑA /CARAMELOS SALUDABLES, $12.802,KG,,-
,Caramelos de Miel,MIEL / POLEN / JARABE DE CAÑA /CARAMELOS SALUDABLES, $12.803,KG,,-
,Caramelos de Jengibre,MIEL / POLEN / JARABE DE CAÑA /CARAMELOS SALUDABLES, $12.804,KG,,-
,Caramelos de Jengibre con Miel,MIEL / POLEN / JARABE DE CAÑA /CARAMELOS SALUDABLES, $12.805,KG,,-
,Caramelos de Ginseng,MIEL / POLEN / JARABE DE CAÑA /CARAMELOS SALUDABLES, $12.806,KG,,-
,Caramelos de Menta,MIEL / POLEN / JARABE DE CAÑA /CARAMELOS SALUDABLES, $12.807,KG,,-
,Ciruela x 400 grs,MERMELADA 100 % NATURAL  S/TACC SIN AGREGADO DE AZÚCARES 80 % FRUTA 20 % JUGO DE UVA (Marca Natural Gourmet),$4.550,UNIDAD,,-
,Durazno x 400 grs,MERMELADA 100 % NATURAL  S/TACC SIN AGREGADO DE AZÚCARES 80 % FRUTA 20 % JUGO DE UVA (Marca Natural Gourmet),$4.550,UNIDAD,,-
,Damasco x 400 grs,MERMELADA 100 % NATURAL  S/TACC SIN AGREGADO DE AZÚCARES 80 % FRUTA 20 % JUGO DE UVA (Marca Natural Gourmet),$4.550,UNIDAD,,-
,Manzana x 400 grs,MERMELADA 100 % NATURAL  S/TACC SIN AGREGADO DE AZÚCARES 80 % FRUTA 20 % JUGO DE UVA (Marca Natural Gourmet),$4.550,UNIDAD,,-
,Pera x 400 grs,MERMELADA 100 % NATURAL  S/TACC SIN AGREGADO DE AZÚCARES 80 % FRUTA 20 % JUGO DE UVA (Marca Natural Gourmet),$4.550,UNIDAD,,-
,Zapallo x 400 grs,MERMELADA 100 % NATURAL  S/TACC SIN AGREGADO DE AZÚCARES 80 % FRUTA 20 % JUGO DE UVA (Marca Natural Gourmet),$4.550,UNIDAD,,-
,Naranja x 400 grs,MERMELADA 100 % NATURAL  S/TACC SIN AGREGADO DE AZÚCARES 80 % FRUTA 20 % JUGO DE UVA (Marca Natural Gourmet),$4.550,UNIDAD,,-
,Mandarina x 400 grs,MERMELADA 100 % NATURAL  S/TACC SIN AGREGADO DE AZÚCARES 80 % FRUTA 20 % JUGO DE UVA (Marca Natural Gourmet),$4.550,UNIDAD,,-
,Membrillo x 400 grs,MERMELADA 100 % NATURAL  S/TACC SIN AGREGADO DE AZÚCARES 80 % FRUTA 20 % JUGO DE UVA (Marca Natural Gourmet),$4.550,UNIDAD,,-
