,PRODUCTO,CATEGORIA,PRECIO VENTA,KG / UNIDAD,MARCA,STOCK
,Con pulpa de Durazno,YOGURT ,$3.540,UNIDAD,,-
,Con pulpa de Ananá parcialmente descremado,YOGURT ,$0,UNIDAD,,0
,Natural descremado sin azúcar,YOGURT ,$3.320,UNIDAD,,-
,Natural entero Tipo Griego con azúcar,YOGURT ,$3.320,UNIDAD,,-
,Alfajor de Mousse Fresas 100 % Vegano / Sin azúcar,ALFAJORES SIN TACC S/TACC x 50 grs  / ALFAJORES INTEGRALES ,$0,UNIDAD,CERRO AZUL,0
,Alfajor de Mousse Vainilla 100 % Vegano / Sin azúcar,ALFAJORES SIN TACC S/TACC x 50 grs  / ALFAJORES INTEGRALES ,$0,UNIDAD,CERRO AZUL,0
,Alfajor de Mousse Limón 100 % Vegano / Sin azúcar,ALFAJORES SIN TACC S/TACC x 50 grs  / ALFAJORES INTEGRALES ,$0,UNIDAD,CERRO AZUL,0
,Alfajor de Mousse Chocolate 100 % vegano  / Sin azúcar,ALFAJORES SIN TACC S/TACC x 50 grs  / ALFAJORES INTEGRALES ,$0,UNIDAD,CERRO AZUL,0
,Alfajor de Mousse Chocolate 100 %  Sin azúcar,ALFAJORES SIN TACC S/TACC x 50 grs  / ALFAJORES INTEGRALES ,$0,UNIDAD,CERRO AZUL,0
,Alfajor de Dulce de Leche Sin Azúcar,ALFAJORES SIN TACC S/TACC x 50 grs  / ALFAJORES INTEGRALES ,$0,UNIDAD,CERRO AZUL,0
,Alfajor Integral de Dulce de Leche Sin Azúcar,ALFAJORES SIN TACC S/TACC x 50 grs  / ALFAJORES INTEGRALES ,$0,UNIDAD,Murke,0
,Alfajor Integral de Dulce de Leche Sin Azúcar Bañado en Chocolate,ALFAJORES SIN TACC S/TACC x 50 grs  / ALFAJORES INTEGRALES ,$0,UNIDAD,Murke,0
,Galletas Light Limón x 180 grs S/ Azúcar,GALLETAS SALUDABLES SIN AZÚCAR / COOKIES SALUDABLES , $1.935,UNIDAD,,-
,Galletas Light c/Pasas x 175 grs S/Azúcar,GALLETAS SALUDABLES SIN AZÚCAR / COOKIES SALUDABLES , $1.935,UNIDAD,,-
,Galletas Light Chía/ Sésamo/ Lino  x 190 grs S/Azúcar,GALLETAS SALUDABLES SIN AZÚCAR / COOKIES SALUDABLES , $1.935,UNIDAD,,-
,Galletas Light Algarroba  x  180 grs S/ Azúcar,GALLETAS SALUDABLES SIN AZÚCAR / COOKIES SALUDABLES , $1.935,UNIDAD,,-
,Galletas Light Naranja x 180 grs S/Azúcar,GALLETAS SALUDABLES SIN AZÚCAR / COOKIES SALUDABLES , $1.935,UNIDAD,,-
,Galletas Light Coco  x 180 grs S/ Azúcar,GALLETAS SALUDABLES SIN AZÚCAR / COOKIES SALUDABLES , $1.935,UNIDAD,,-
,Galletas Light Vainilla  x 180 grs S/ Azúcar,GALLETAS SALUDABLES SIN AZÚCAR / COOKIES SALUDABLES , $1.935,UNIDAD,,-
,Galletas Light Frutos Rojos con Arándonos x 170 grs S/Azúcar,GALLETAS SALUDABLES SIN AZÚCAR / COOKIES SALUDABLES , $1.942,UNIDAD,,-
,Tostaditas de arroz x 120 grs,TOSTADAS  / DISCOS DE ARROZ / BARRAS  S/TACC,$1.780,UNIDAD,,-
,Discos de arroz x 60 grs ( Tradicional / Miel / Chocolate ),TOSTADAS  / DISCOS DE ARROZ / BARRAS  S/TACC,$1.485,UNIDAD,,-
,Barritas de arroz x 20 grs ( Tradicional / Miel / Chocolate ),TOSTADAS  / DISCOS DE ARROZ / BARRAS  S/TACC,$600,UNIDAD,,-
,Mix CERVECERO Tradicional (Maiz Frito Común / Pasas Rubias /Maní salado/Girasol),MIX DE FRUTOS SECOS | FRUTAS DESECADAS| CEREALES,$8.316,KG,,-
,MIX 1 sin maní (Nueces/ Almendras / Pasas Morenas/ Rubias),MIX DE FRUTOS SECOS | FRUTAS DESECADAS| CEREALES,$16.732,KG,,-
,MIX 2 (Nueces/ Almendras / Pasas Morenas/Rubias /Maní sin sal ),MIX DE FRUTOS SECOS | FRUTAS DESECADAS| CEREALES,$14.396,KG,,-
,MIX PREMIUM (Nueces/ Almendras / Pasas Morenas/Rubias /Castañas / Avellanas),MIX DE FRUTOS SECOS | FRUTAS DESECADAS| CEREALES,$19.110,KG,,-
,MIX SUPER PREMIUM (Nueces / Almendras /Castañas / Avellanas),MIX DE FRUTOS SECOS | FRUTAS DESECADAS| CEREALES,$24.530,KG,,-
,MIX TROPICAL PREMIUM (Nueces/Almendras/ Ananá Glaseado/Chips de bananas/Castañas/Pasas Morenas /Pasas Rubias /Papaya),MIX DE FRUTOS SECOS | FRUTAS DESECADAS| CEREALES,$16.880,KG,,-
,MIX TROPICAL ECONOMICO ( Nueces/ Almendras/ Ananá Glaseado/ Chips de bananas/ Maní sin sal /Pasas Morenas /Rubias/ Papaya),MIX DE FRUTOS SECOS | FRUTAS DESECADAS| CEREALES,$16.840,KG,,-
,MIX PATAGÓNICO(Arándanos/Pasas Negras /Rubias/Coco en escamas/Nueces/Castañas/Almendras),MIX DE FRUTOS SECOS | FRUTAS DESECADAS| CEREALES,$16.460,KG,,-
,MIX ARAUCANO(Nueces/Almendras/ Castañas de Cajú /Maní s/sal /Banana Chips),MIX DE FRUTOS SECOS | FRUTAS DESECADAS| CEREALES,$14.912,KG,,-
,"MIX POWER UP ( Almendras, Nueces ,Chips de Banana ,Pasas negras , Maní s/sal y Girasol )",MIX DE FRUTOS SECOS | FRUTAS DESECADAS| CEREALES,$12.728,KG,,-
,"MIX POWER UP + GOTITAS DE CHOCOLATE NEGRO ( Almendras, Nueces ,Chips de Banana ,Pasas negras , Maní s/sal y Girasol + chips de choco negro )",MIX DE FRUTOS SECOS | FRUTAS DESECADAS| CEREALES,$13.926,KG,,-
,MIX 1 de Frutos Rojos Congelados con Frutilla,MIX DE FRUTOS CONGELADOS ,$10.600,KG,,-
,MIX 2 de Frutos Rojos Congelados sin Frutilla,MIX DE FRUTOS CONGELADOS ,$12.300,KG,,-
,Arándanos Congelados,MIX DE FRUTOS CONGELADOS ,$10.800,KG,,-
